"Povpreène meseène plaèe po: KOHEZIJSKA IN STATISTIÈNA REGIJA, KAZALNIK"
", LETO"

" ";"Povpreèna meseèna bruto plaèa";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Pomurska";968.81;1009.46;1062.73;1158.19;1238.28;1309.78;1325.62;1333.98;1336.85;1364.55;1383.76;1412.02;1456.24
"Podravska";1075.39;1129.94;1193.82;1282.25;1329.15;1377.14;1398.14;1398.73;1394.51;1404.54;1420.30;1449.99;1495.24
"Koroška";1018.21;1062.48;1128.50;1226.98;1262.48;1343.00;1387.54;1395.46;1406.19;1427.19;1453.62;1493.84;1540.18
"Savinjska";1053.86;1102.63;1159.35;1255.70;1282.98;1360.22;1391.95;1395.37;1396.90;1421.22;1429.58;1445.36;1485.79
"Zasavska";1089.56;1133.00;1192.77;1310.85;1356.25;1405.78;1441.35;1404.17;1414.36;1409.93;1378.79;1410.34;1453.92
"Posavska";1042.78;1095.76;1181.43;1282.85;1325.52;1374.36;1414.15;1420.24;1415.44;1435.01;1445.78;1480.66;1526.79
"Jugovzhodna Slovenija";1098.94;1154.12;1221.89;1332.14;1370.21;1446.19;1496.63;1509.92;1516.62;1554.82;1560.47;1583.01;1612.03
"Primorsko-notranjska";1015.93;1063.97;1125.85;1218.06;1233.11;1281.18;1334.32;1325.96;1336.21;1355.89;1374.28;1388.68;1431.09
"Osrednjeslovenska";1310.40;1369.46;1454.09;1578.20;1634.54;1678.13;1707.54;1699.22;1685.00;1696.05;1719.97;1751.43;1794.34
"Gorenjska";1119.33;1175.78;1244.85;1348.91;1377.73;1440.13;1467.77;1484.50;1508.29;1526.09;1545.33;1570.01;1616.91
"Goriška";1136.10;1199.11;1280.10;1359.17;1386.99;1452.20;1468.97;1460.38;1458.25;1472.42;1487.37;1523.53;1562.57
"Obalno-kraška";1151.61;1210.81;1278.97;1390.81;1446.59;1482.24;1509.22;1505.94;1494.41;1510.98;1533.34;1559.86;1597.48

"Vir: Statistièni urad Republike Slovenije. "
" "
"Pri izraèunu podatkov o povpreènih meseènih plaèah za leto 2015 so za "
"obdobje od januarja do oktobra 2015 uporabljeni preraèunani podatki "
"zaradi spremembe v virih podatkov. "
" "

"Povezane vsebine: "
"- (seznam HREF=http://www.stat.si/statweb/File/DocSysFile/8212 "
"target=_blank) Metodološka pojasnila "

"znesek v EUR"

